State,Market,Campaign
AL,Vet,67770d61e345699491e695ca
AK,Vet,67770de8e345699491e69ce2
AZ,Vet,67770dfde345699491e69d98
AR,Vet,67770e13e345699491e69e66
CA,Vet,67770e71e345699491e6a727
CO,Vet,67770f14e345699491e6b502
CT,Vet,67770f49e345699491e6ba73
DE,Vet,67771027e345699491e6cc2a
DC,Vet,6777103be345699491e6ce05
FL,Vet,6777104ee345699491e6d012
GA,Vet,67771062e345699491e6d1bb
HI,Vet,67771076e345699491e6d3d3
ID,Vet,67771090e345699491e6d5fc
IL,Vet,677710a8e345699491e6d8bf
IN,Vet,677710c5e345699491e6dc6f
IA,Vet,677711ace345699491e6ee5c
KS,Vet,677711cae345699491e6f00b
KY,Vet,67771231e345699491e6f553
LA,Vet,67771246e345699491e6f723
ME,Vet,67771265e345699491e6fa37
MD,Vet,67771276e345699491e6fb9b
MA,Vet,67771296e345699491e6fea5
MI,Vet,677712aee345699491e700ae
MN,Vet,677712bfe345699491e70224
MS,Vet,677712d0e345699491e703b7
MO,Vet,677712e1e345699491e70544
MT,Vet,677712f4e345699491e70703
NE,Vet,67771325e345699491e70bb2
NV,Vet,67771336e345699491e70d86
NH,Vet,67771348e345699491e70f5f
NJ,Vet,6777135ae345699491e71133
NM,Vet,67771472e345699491e7241a
NY,Vet,67771487e345699491e725e7
NC,Vet,677714c6e345699491e72bc6
ND,Vet,67771505e345699491e732b9
OH,Vet,67771515e345699491e73442
OK,Vet,67771527e345699491e73757
OR,Vet,67771534e345699491e738aa
PA,Vet,6777154ee345699491e73b48
RI,Vet,67771587e345699491e74080
SC,Vet,677715a4e345699491e7435e
SD,Vet,677715b5e345699491e744fe
TN,Vet,677715d7e345699491e747c6
TX,Vet,677715ede345699491e74897
UT,Vet,677715fde345699491e74921
VT,Vet,6777160de345699491e749d8
VA,Vet,67771621e345699491e74ba1
WA,Vet,67771634e345699491e74d90
WV,Vet,67771646e345699491e7545f
WI,Vet,67771657e345699491e75b16
WY,Vet,6777166ae345699491e75ca4
AL,Globe,677ab08027b78ac01f4b99dc
AK,Globe,677ab16c27b78ac01f4ba371
AZ,Globe,677ab18327b78ac01f4ba4e7
AR,Globe,677ab19727b78ac01f4ba636
CA,Globe,677ab30327b78ac01f4bbd37
CO,Globe,677ab31727b78ac01f4bbd6c
CT,Globe,677ab33127b78ac01f4bbdb5
DE,Globe,677ab35927b78ac01f4bc05c
DC,Globe,677ab36e27b78ac01f4bc1ce
FL,Globe,677ab38727b78ac01f4bc35a
GA,Globe,677ab39a27b78ac01f4bc49c
HI,Globe,677ab3ec27b78ac01f4bc5db
ID,Globe,677ab41c27b78ac01f4bc80d
IL,Globe,677ab42c27b78ac01f4bc936
IN,Globe,677ab43f27b78ac01f4bca84
IA,Globe,677ab45427b78ac01f4bcbcf
KS,Globe,677ab46727b78ac01f4bcd05
KY,Globe,677ab47727b78ac01f4bce0c
LA,Globe,677ab48b27b78ac01f4bcfc3
ME,Globe,677ab49b27b78ac01f4bd0c2
MD,Globe,677ab4b127b78ac01f4bd221
MA,Globe,677ab4c627b78ac01f4bd35d
MI,Globe,677ab4da27b78ac01f4bd4a0
MN,Globe,677ab4e927b78ac01f4bd59a
MS,Globe,677ab50b27b78ac01f4bd79c
MO,Globe,677ab51f27b78ac01f4bd8cd
MT,Globe,677ab53e27b78ac01f4bda8d
NE,Globe,677ab57727b78ac01f4bdef4
NV,Globe,677ab5a127b78ac01f4be170
NH,Globe,677ab5b627b78ac01f4be330
NJ,Globe,677ab6e627b78ac01f4bef52
NM,Globe,677ab7eb27b78ac01f4bffc1
NY,Globe,677ab80b27b78ac01f4c0141
NC,Globe,677ab81827b78ac01f4c015a
