QueueName,QueueID,Extension,MemberCount,AgentEmail,AgentID,AgentName,AgentRoles,Markets,State,MarketType
Globe Lapsed,63020000000992005,,0,,,,,,Active,
GLOBE-AK,63020000000013151,,0,,,,,,Active,
GLOBE-AL,63020000000013129,,0,,,,,,Active,
GLOBE-AR,63020000000013183,,0,,,,,,Active,
GLOBE-AZ,63020000000013167,,0,,,,,,Active,
GLOBE-CA,63020000000013199,,0,,,,,,Active,
GLOBE-CO,63020000000013215,,0,,,,,,Active,
GLOBE-CT,63020000000013231,,0,,,,,,Active,
GLOBE-DC,63020000000048085,,0,,,,,,Active,
GLOBE-DE,63020000000013247,,0,,,,,,Active,
GLOBE-FL,63020000000013263,,0,,,,,,Active,
GLOBE-GA,63020000000013279,,0,,,,,,Active,
GLOBE-HI,63020000000013295,,0,,,,,,Active,
GLOBE-IA,63020000000013343,,0,,,,,,Active,
GLOBE-ID,63020000000013311,,0,,,,,,Active,
GLOBE-IL,63020000000013327,,0,,,,,,Active,
GLOBE-IN,63020000000013921,,0,,,,,,Active,
GLOBE-KS,63020000000013359,,0,,,,,,Active,
GLOBE-KY,63020000000013375,,0,,,,,,Active,
GLOBE-LA,63020000000013391,,0,,,,,,Active,
GLOBE-MA,63020000000013439,,0,,,,,,Active,
GLOBE-MD,63020000000013423,,0,,,,,,Active,
GLOBE-ME,63020000000013407,,0,,,,,,Active,
GLOBE-MI,63020000000013455,,0,,,,,,Active,
GLOBE-MN,63020000000013471,,0,,,,,,Active,
GLOBE-MO,63020000000013503,,0,,,,,,Active,
GLOBE-MS,63020000000013487,,0,,,,,,Active,
GLOBE-MT,63020000000013519,,0,,,,,,Active,
GLOBE-NC,63020000000013631,,0,,,,,,Active,
GLOBE-ND,63020000000013647,,0,,,,,,Active,
GLOBE-NE,63020000000013535,,0,,,,,,Active,
GLOBE-NH,63020000000013567,,0,,,,,,Active,
GLOBE-NJ,63020000000013583,,0,,,,,,Active,
GLOBE-NM,63020000000013599,,0,,,,,,Active,
GLOBE-NV,63020000000013551,,0,,,,,,Active,
GLOBE-NY,63020000000013615,,0,,,,,,Active,
GLOBE-OH,63020000000013663,,0,,,,,,Active,
GLOBE-OK,63020000000013693,,0,,,,,,Active,
GLOBE-OR,63020000000013707,,0,,,,,,Active,
GLOBE-PA,63020000000013723,,0,,,,,,Active,
GLOBE-RI,63020000000013739,,0,,,,,,Active,
GLOBE-SC,63020000000013755,,0,,,,,,Active,
