name,id,queueStrategy,enableDefaultAnnouncements,queueWaitMusic_mode,queueWaitMusic_audioId
1 - Direct PAVET - Texas,63020000000693143,round-robin,false,audio,
3 Direct PAVET - Penn,63020000000693181,round-robin,false,audio,
CQL - PAVET - Florida,63020000000272677,ring-all,false,audio,
CQL - PAVET - Hawaii,63020000000272713,ring-all,false,audio,
CQL - PAVET - Illinois,63020000000272745,ring-all,false,audio,
CQL - PAVET - Indiana,63020000000272763,ring-all,false,audio,
CQL - PAVET - Kansas,63020000000272795,ring-all,false,audio,
CQL - PAVET - LOH test,63020000000271559,round-robin,false,audio,
CQL - PAVET - Nebraska,63020000000275007,ring-all,false,audio,
CQL - PAVET - New Jersey,63020000000275059,ring-all,false,audio,
CQL - PAVET - New Mexico,63020000000275077,ring-all,false,audio,
CQL - PAVET - North Carolina,63020000000275111,ring-all,false,audio,
CQL - PAVET - North Dakota,63020000000275129,ring-all,false,audio,
CQL - PAVET - Ohio,63020000000275151,ring-all,false,audio,
CQL - PAVET - South Dakota,63020000000275251,ring-all,false,audio,
Globe Lapsed,63020000000992005,ring-all,false,audio,872802830_1736912449549.mp3
GLOBE-AK,63020000000013151,round-robin,false,audio,
GLOBE-AL,63020000000013129,round-robin,false,audio,
GLOBE-AR,63020000000013183,round-robin,false,audio,
GLOBE-AZ,63020000000013167,round-robin,false,audio,
GLOBE-CA,63020000000013199,round-robin,false,audio,
GLOBE-CO,63020000000013215,round-robin,false,audio,
GLOBE-CT,63020000000013231,round-robin,false,audio,
GLOBE-DC,63020000000048085,round-robin,false,audio,
GLOBE-DE,63020000000013247,round-robin,false,audio,
GLOBE-FL,63020000000013263,round-robin,false,audio,
GLOBE-GA,63020000000013279,round-robin,false,audio,
GLOBE-HI,63020000000013295,round-robin,false,audio,
GLOBE-IA,63020000000013343,round-robin,false,audio,
GLOBE-ID,63020000000013311,round-robin,false,audio,
GLOBE-IL,63020000000013327,round-robin,false,audio,
GLOBE-IN,63020000000013921,round-robin,false,audio,
GLOBE-KS,63020000000013359,round-robin,false,audio,
GLOBE-KY,63020000000013375,round-robin,false,audio,
GLOBE-LA,63020000000013391,round-robin,false,audio,
GLOBE-MA,63020000000013439,round-robin,false,audio,
GLOBE-MD,63020000000013423,round-robin,false,audio,
GLOBE-ME,63020000000013407,round-robin,false,audio,
GLOBE-MI,63020000000013455,round-robin,false,audio,
GLOBE-MN,63020000000013471,round-robin,false,audio,
GLOBE-MO,63020000000013503,round-robin,false,audio,
GLOBE-MS,63020000000013487,round-robin,false,audio,
GLOBE-MT,63020000000013519,round-robin,false,audio,
GLOBE-NC,63020000000013631,round-robin,false,audio,
GLOBE-ND,63020000000013647,round-robin,false,audio,
GLOBE-NE,63020000000013535,round-robin,false,audio,
GLOBE-NH,63020000000013567,round-robin,false,audio,
GLOBE-NJ,63020000000013583,round-robin,false,audio,
GLOBE-NM,63020000000013599,round-robin,false,audio,
GLOBE-NV,63020000000013551,round-robin,false,audio,
GLOBE-NY,63020000000013615,round-robin,false,audio,
GLOBE-OH,63020000000013663,round-robin,false,audio,
GLOBE-OK,63020000000013693,round-robin,false,audio,
GLOBE-OR,63020000000013707,round-robin,false,audio,
GLOBE-PA,63020000000013723,round-robin,false,audio,
GLOBE-RI,63020000000013739,round-robin,false,audio,
GLOBE-SC,63020000000013755,round-robin,false,audio,
GLOBE-SD,63020000000013771,round-robin,false,audio,
GLOBE-TN,63020000000013787,round-robin,false,audio,
GLOBE-TX,63020000000013803,round-robin,false,audio,
GLOBE-UT,63020000000013819,round-robin,false,audio,
GLOBE-VA,63020000000013835,round-robin,false,audio,
GLOBE-VT,63020000000003053,round-robin,false,audio,
GLOBE-WA,63020000000013851,round-robin,false,audio,
GLOBE-WI,63020000000013883,round-robin,false,audio,
GLOBE-WV,63020000000013867,round-robin,false,audio,
GLOBE-WY,63020000000013899,round-robin,false,audio,
missedcallparty,63020000000277479,top-down,false,audio,
PAVET-AK,63020000000033031,round-robin,false,audio,
PAVET-AL,63020000000031019,round-robin,false,audio,
