State,Market,TotalAgents,CampaignID,HourDial
CA,Womens,4,N/A,1
CA,SMB,3,N/A,1
CO,Womens,3,N/A,1
CO,SMB,4,N/A,1
CT,Vet,4,67770f49e345699491e6ba73,1
CT,Globe,2,677ab33127b78ac01f4bbdb5,1
CT,Will Kit,2,677abe0c27b78ac01f4c4d77,1
CT,Womens,0,N/A,1
CT,SMB,1,N/A,1
DE,Globe,3,677ab35927b78ac01f4bc05c,1
DE,Womens,1,N/A,1
DE,SMB,1,N/A,1
FL,Womens,2,67847e69477432a7c853f1c3,1
FL,SMB,5,N/A,1
ID,Globe,3,677ab41c27b78ac01f4bc80d,1
ID,Will Kit,4,677abead27b78ac01f4c5858,1
ID,Womens,1,N/A,1
ID,SMB,3,N/A,1
IL,Womens,2,N/A,1
IL,SMB,2,N/A,1
KY,Globe,3,677ab47727b78ac01f4bce0c,1
KY,Womens,1,N/A,1
KY,SMB,2,N/A,1
MD,Womens,2,N/A,1
MD,SMB,3,N/A,1
MI,Womens,5,N/A,1
MI,SMB,5,N/A,1
MO,Globe,4,677ab51f27b78ac01f4bd8cd,1
MO,Womens,1,N/A,1
MO,SMB,3,N/A,1
NC,SMB,4,N/A,1
NM,Womens,1,N/A,1
NM,SMB,2,N/A,1
NV,Womens,1,N/A,1
NV,SMB,5,N/A,1
OH,Womens,2,N/A,1
OH,SMB,5,N/A,1
OK,Globe,3,677ab8cb27b78ac01f4c05b5,1
OK,Womens,0,N/A,1
OK,SMB,3,N/A,1
OR,Womens,4,N/A,1
OR,SMB,5,N/A,1
SC,Womens,0,N/A,1
SC,SMB,3,N/A,1
SD,Globe,2,677ab96127b78ac01f4c0f9f,1
SD,Womens,0,N/A,1
SD,SMB,3,N/A,1
TN,Globe,4,677ab97027b78ac01f4c1094,1
TN,Womens,2,N/A,1
TN,SMB,3,N/A,1
TX,SMB,4,N/A,1
WA,Womens,6,N/A,1
WA,SMB,4,N/A,1
WI,Womens,3,N/A,1
WI,SMB,5,N/A,1
WV,Globe,1,677abc2327b78ac01f4c3357,1
WV,Womens,1,N/A,1
WV,SMB,3,N/A,1
MN,Womens,3,N/A,1
MN,SMB,4,N/A,1
AZ,Womens,3,N/A,1
AZ,SMB,4,N/A,1
IA,Globe,4,677ab45427b78ac01f4bcbcf,1
IA,Womens,1,N/A,1
IA,SMB,3,N/A,1
AL,Globe,2,677ab08027b78ac01f4b99dc,1
AL,Womens,0,67847e2c477432a7c853f1a4,1
AL,SMB,2,N/A,1
GA,Globe,3,677ab39a27b78ac01f4bc49c,1
GA,Womens,1,67847e86477432a7c853f1df,1
GA,SMB,2,N/A,1
IN,Womens,4,N/A,1
IN,SMB,3,N/A,1
MS,Globe,2,677ab50b27b78ac01f4bd79c,1
MS,Womens,1,N/A,1
MS,SMB,0,N/A,1
MT,Globe,3,677ab53e27b78ac01f4bda8d,1
MT,Will Kit,4,677ac13327b78ac01f4c7c59,1
MT,Womens,1,N/A,1
MT,SMB,1,N/A,1
ND,Globe,3,677ab82c27b78ac01f4c016e,1
ND,Will Kit,4,677ac1bf27b78ac01f4c8080,1
ND,Womens,2,N/A,1
ND,SMB,0,N/A,1
NE,Womens,2,N/A,1
NE,SMB,1,N/A,1
NJ,Womens,2,N/A,1
NJ,SMB,3,N/A,1
PA,Womens,2,67847eb7477432a7c853f203,1
PA,SMB,3,N/A,1
UT,Globe,3,677abb5d27b78ac01f4c269c,1
UT,Womens,2,N/A,1
UT,SMB,0,N/A,1
VA,Womens,7,N/A,1
VA,SMB,5,N/A,1
AB,Vet,1,N/A,1
AB,Globe,0,N/A,1
AB,Will Kit,1,N/A,1
AB,Womens,1,N/A,1
AB,SMB,0,N/A,1
BC,Vet,1,N/A,1
BC,Globe,0,N/A,1
BC,Will Kit,1,N/A,1
BC,Womens,1,N/A,1
BC,SMB,0,N/A,1
NL,Vet,1,N/A,1
NL,Globe,0,N/A,1
NL,Will Kit,1,N/A,1
NL,Womens,1,N/A,1
NL,SMB,0,N/A,1
ON,Vet,1,N/A,1
ON,Globe,0,N/A,1
ON,Will Kit,1,N/A,1
ON,Womens,1,N/A,1
ON,SMB,0,N/A,1
SK,Vet,1,N/A,1
SK,Globe,0,N/A,1
SK,Will Kit,1,N/A,1
SK,Womens,1,N/A,1
SK,SMB,0,N/A,1
AK,Globe,1,677ab16c27b78ac01f4ba371,1
AK,Will Kit,4,677abd4727b78ac01f4c40e8,1
AK,Womens,0,N/A,1
AK,SMB,3,N/A,1
AR,Globe,3,677ab19727b78ac01f4ba636,1
AR,Womens,1,N/A,1
AR,SMB,1,N/A,1
DC,Globe,2,677ab36e27b78ac01f4bc1ce,1
DC,Womens,1,N/A,1
DC,SMB,0,N/A,1
HI,Globe,2,677ab3ec27b78ac01f4bc5db,1
HI,Will Kit,4,677abe9427b78ac01f4c568b,1
HI,Womens,1,N/A,1
HI,SMB,1,N/A,1
KS,Globe,1,677ab46727b78ac01f4bcd05,1
KS,Womens,0,N/A,1
KS,SMB,2,N/A,1
LA,Globe,1,677ab48b27b78ac01f4bcfc3,1
LA,Womens,1,N/A,1
LA,SMB,2,N/A,1
WY,Globe,1,677abc4727b78ac01f4c3587,1
WY,Will Kit,4,677ac2da27b78ac01f4c9011,1
WY,Womens,0,N/A,1
WY,SMB,1,N/A,1
VT,Globe,3,677abb7227b78ac01f4c2808,1
VT,Will Kit,4,677ac29027b78ac01f4c8b3d,1
VT,Womens,1,N/A,1
VT,SMB,2,N/A,1
RI,Globe,1,677ab92427b78ac01f4c0b16,1
RI,Will Kit,3,677ac24127b78ac01f4c8633,1
RI,Womens,2,N/A,1
RI,SMB,1,N/A,1
ME,Vet,3,67771265e345699491e6fa37,1
ME,Globe,1,677ab49b27b78ac01f4bd0c2,1
ME,Will Kit,3,677ac03427b78ac01f4c6c9f,1
ME,Womens,0,N/A,1
ME,SMB,0,N/A,1
NH,Vet,3,67771348e345699491e70f5f,1
NH,Globe,2,677ab5b627b78ac01f4be330,1
NH,Will Kit,4,677ac18027b78ac01f4c7d8e,1
NH,Womens,2,N/A,1
NH,SMB,0,N/A,1
CA,Vet,8,67770e71e345699491e6a727,69
CA,Globe,8,677ab30327b78ac01f4bbd37,69
CA,Will Kit,6,677abdf327b78ac01f4c4bba,52
CO,Vet,8,67770f14e345699491e6b502,69
CO,Globe,9,677ab31727b78ac01f4bbd6c,78
CO,Will Kit,6,677abe0127b78ac01f4c4cb8,52
DE,Vet,7,67771027e345699491e6cc2a,60
DE,Will Kit,5,677abe3827b78ac01f4c5025,43
FL,Vet,17,6777104ee345699491e6d012,147
FL,Globe,6,677ab38727b78ac01f4bc35a,52
FL,Will Kit,8,677abe5627b78ac01f4c51fb,69
