state,market,agentCount
AZ,Globe,9
CA,Globe,7
IL,Globe,2
AB,Will Kit,1
BC,Will Kit,1
MB,Will Kit,1
AK,Veteran,4
AL,Veteran,10
AR,Veteran,9
CA,Veteran,8
FL,Veteran,14
IL,Veteran,1
AL,Globe,4
AZ,Veteran,14
CO,Globe,6
MD,Globe,4
MI,Veteran,3
MO,Veteran,2
MS,Veteran,3
GA,Veteran,4
MN,Globe,1
OK,Veteran,1
IA,Veteran,2
GA,Globe,1
TX,Veteran,2
LA,Veteran,1
CO,Veteran,2
MD,Veteran,1
FL,Globe,2
CA,Will Kit,1
CO,Will Kit,1
NC,Globe,1
NJ,Globe,1
DC,Veteran,1
RI,Veteran,1
SD,Veteran,1
VA,Veteran,1
KS,Veteran,1
ME,Veteran,1
CA,Womens Benefit Requests,1
GA,Womens Benefit Requests,1
MI,Womens Benefit Requests,1
NC,Veteran,1
IN,Veteran,1
AK,Globe,2
AR,Globe,1
