campaign_id,campaign_name,state,market_type,eligible_lead_count
67770e71e345699491e6a727,Veteran - PAVET - CA,CA,PAVET,6412
6777104ee345699491e6d012,Veteran - PAVET - FL,FL,PAVET,7858
677714c6e345699491e72bc6,Veteran - PAVET - NC,NC,PAVET,4208
677711ace345699491e6ee5c,Veteran - PAVET - IA,IA,PAVET,894
67770dfde345699491e69d98,Veteran - PAVET - AZ,AZ,PAVET,2474
677712e1e345699491e70544,Veteran - PAVET - MO,MO,PAVET,2448
6777154ee345699491e73b48,Veteran - PAVET - PA,PA,PAVET,4523
67771487e345699491e725e7,Veteran - PAVET - NY,NY,PAVET,1647
677715ede345699491e74897,Veteran - PAVET - TX,TX,PAVET,6617
67770e13e345699491e69e66,Veteran - PAVET - AR,AR,PAVET,1473
67771527e345699491e73757,Veteran - PAVET - OK,OK,PAVET,1954
677ab6e627b78ac01f4bef52,Globe-VN-NJ,NJ,VN,1095
67771062e345699491e6d1bb,Veteran - PAVET - GA,GA,PAVET,3957
677712aee345699491e700ae,Veteran - PAVET - MI,MI,PAVET,3302
677abb8027b78ac01f4c2908,Globe-VN-VA,VA,VN,3643
677ab42c27b78ac01f4bc936,Globe-VN-IL,IL,VN,3460
67771515e345699491e73442,Veteran - PAVET - OH,OH,PAVET,3182
677ab47727b78ac01f4bce0c,Globe-VN-KY,KY,VN,2125
67770f14e345699491e6b502,Veteran - PAVET - CO,CO,PAVET,1623
67771276e345699491e6fb9b,Veteran - PAVET - MD,MD,PAVET,2076
677710c5e345699491e6dc6f,Veteran - PAVET - IN,IN,PAVET,2120
677ab18327b78ac01f4ba4e7,Globe-VN-AZ,AZ,VN,1013
67771534e345699491e738aa,Veteran - PAVET - OR,OR,PAVET,1478
677715d7e345699491e747c6,Veteran - PAVET - TN,TN,PAVET,2630
677abc1627b78ac01f4c3298,Globe-VN-WA,WA,VN,2115
67771231e345699491e6f553,Veteran - PAVET - KY,KY,PAVET,1855
67771246e345699491e6f723,Veteran - PAVET - LA,LA,PAVET,1935
677abc4727b78ac01f4c3587,Globe-VN-WY,WY,VN,400
677ab33127b78ac01f4bbdb5,Globe-VN-CT,CT,VN,685
